[2019-01-01 07:00:00] [fmaks5318125zsfgd] app.IN.FO: Some long text ... [CONTEXT]
[2019-01-02 :32:00] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 09:32:10] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 09:32:15] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 09:32:20] [fmaks5318125zsfgd] app.WARNING: Some long text ... [CONTEXT]
[2019-01-02 09:32:22] [gdsjgw84ghweuhgsd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 09:45:00] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 09:45:01] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 11:00:00] [gdsjgw84ghweuhgsd] app.INFO: Some long text ... [CONTEXT]
[2019-01-02 11:55:00] [gdsjgw84ghweuhgsd] app.ERROR: Some long text ... [CONTEXT]
[2019-01-03 07:00:00] [gdsjgw84ghweuhgsd] app.INFO: Some long text ... [CONTEXT]
[2019-01-05 07:00:00] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
[2019-04-22 07:00:00] [fmaks5318125zsfgd] app.INFO: Some long text ... [CONTEXT]
